ID,Name,Description,ColumnSpec,Concepticon_ID,Concepticon_Gloss,Central_Concept,Core_Concept
above,ABOVE,,,1741,ABOVE,HIGH,
all,ALL,,,98,ALL,MANY,Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110
ant,ANT,,,587,ANT,ANT,Tadmor-2009-100
armpit,ARMPIT,,,1886,ARMPIT,,
bad,BAD,,,1292,BAD,BAD,Swadesh-1952-200
bamboo,BAMBOO,,,1927,BAMBOO,BRASS INSTRUMENT (HORN OR TRUMPET),
barley,BARLEY,,,932,BARLEY,GRAIN,
bealive,BE ALIVE,,,1422,BE ALIVE,"DWELL (LIVE, RESIDE)",Swadesh-1952-200
belly,BELLY,,,1251,BELLY,INTESTINES,Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110
beloworunder,BELOW OR UNDER,,,1485,BELOW OR UNDER,LOW,
big,BIG,,,1202,BIG,MANY,Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110 Tadmor-2009-100
bird,BIRD,,,937,BIRD,CHICKEN,Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110 Tadmor-2009-100
bite,BITE,,,1403,BITE,DRINK,Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110 Tadmor-2009-100
black,BLACK,,,163,BLACK,DARKNESS,Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110 Tadmor-2009-100
blood,BLOOD,,,946,BLOOD,RIPE,Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110 Tadmor-2009-100 Holman-2008-40
blowofwind,BLOW (OF WIND),,,175,BLOW (OF WIND),BLOW (OF WIND),Swadesh-1952-200 Tadmor-2009-100
hairorfur,HAIR OR FUR,,,2678,HAIR OR FUR,,
bone,BONE,,,1394,BONE,LEG,Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110 Tadmor-2009-100 Holman-2008-40
branch,BRANCH,,,1531,BRANCH,BRANCH,
breast,BREAST,,,1402,BREAST,BREAST,Swadesh-1955-100 Starostin-1991-110 Tadmor-2009-100 Holman-2008-40
burning,BURNING,,,1428,BURNING,COOK (SOMETHING),Swadesh-1952-200 Tadmor-2009-100
buy,BUY,,,1869,BUY,GIVE,
chew,CHEW,,,321,CHEW,DRINK,
childyounghuman,CHILD (YOUNG HUMAN),,,1304,CHILD (YOUNG HUMAN),SON,Swadesh-1952-200
cloud,CLOUD,,,1489,CLOUD,FOG,Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110
cold,COLD,,,1287,COLD,COLD,Swadesh-1955-100 Starostin-1991-110
come,COME,,,1446,COME,GO,Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110 Tadmor-2009-100 Holman-2008-40
correctright,CORRECT (RIGHT),,,1725,CORRECT (RIGHT),CORRECT (RIGHT),Swadesh-1952-200
count,COUNT,,,1420,COUNT,READ,Swadesh-1952-200
cry,CRY,,,1839,CRY,SHOUT,Tadmor-2009-100
dark,DARK,,,706,DARK,DARKNESS,
daughter,DAUGHTER,,,1357,DAUGHTER,SON,
dew,DEW,,,1977,DEW,COLD,
die,DIE,,,1494,DIE,DIE,Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110 Holman-2008-40
dig,DIG,,,1418,DIG,CUT,Swadesh-1952-200
dirty,DIRTY,,,1230,DIRTY,DARKNESS,Swadesh-1952-200
dog,DOG,,,2009,DOG,DOG,Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110 Tadmor-2009-100 Holman-2008-40
dream,DREAM,,,2374,DREAM,SLEEP,
drink,DRINK,,,1401,DRINK,DRINK,Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110 Tadmor-2009-100 Holman-2008-40
dry,DRY,,,1398,DRY,NOT,Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110
dust,DUST,,,2,DUST,FOG,Swadesh-1952-200
ear,EAR,,,1247,EAR,EAR,Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110 Tadmor-2009-100 Holman-2008-40
early,EARLY,,,672,EARLY,DAWN,
earthsoil,EARTH (SOIL),,,1228,EARTH (SOIL),EARTH (SOIL),Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110 Tadmor-2009-100
earthworm,EARTHWORM,,,2350,EARTHWORM,,
eat,EAT,,,1336,EAT,DRINK,Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110 Tadmor-2009-100
egg,EGG,,,744,EGG,GRAIN,Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110 Tadmor-2009-100
eight,EIGHT,,,1705,EIGHT,,
eye,EYE,,,1248,EYE,GRAIN,Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110 Tadmor-2009-100 Holman-2008-40
far,FAR,,,1406,FAR,HIGH,Swadesh-1952-200 Starostin-1991-110 Tadmor-2009-100
father,FATHER,,,1217,FATHER,FATHER-IN-LAW (OF MAN),Swadesh-1952-200
feather,FEATHER,,,1201,FEATHER,FEATHER,Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110
fight,FIGHT,,,1423,FIGHT,BATTLE,Swadesh-1952-200
fire,FIRE,,,221,FIRE,POST,Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110 Tadmor-2009-100 Holman-2008-40
firewood,FIREWOOD,,,10,FIREWOOD,POST,
fish,FISH,,,227,FISH,FISH,Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110 Tadmor-2009-100 Holman-2008-40
